model_name,feature,importance
Logistic Regression Existing,hash_feature_7046,-0.5280946070494866
Logistic Regression Existing,hash_feature_2836,-0.5167215027864591
Logistic Regression Existing,hash_feature_8198,0.5077234816962738
Logistic Regression Existing,hash_feature_16350,0.4652783436537958
Logistic Regression Existing,hash_feature_7204,0.4475012275415064
Logistic Regression Existing,hash_feature_10763,0.44579002398669426
Logistic Regression Existing,hash_feature_6393,-0.43318939319851435
Logistic Regression Existing,hash_feature_750,0.4282782277781089
Logistic Regression Existing,hash_feature_5273,0.4278855133409787
Logistic Regression Existing,hash_feature_19448,-0.4257767038277695
Logistic Regression Existing,hash_feature_6278,0.42470804626495023
Logistic Regression Existing,hash_feature_12698,0.4175106986544391
Logistic Regression Existing,hash_feature_7713,0.41524282512399485
Logistic Regression Existing,hash_feature_2507,0.40867712327994216
Logistic Regression Existing,hash_feature_4066,-0.4084920293299279
Logistic Regression Existing,hash_feature_7482,-0.405080496128231
Logistic Regression Existing,hash_feature_7736,0.3992002543837842
Logistic Regression Existing,hash_feature_188,0.39299541630352425
Logistic Regression Existing,hash_feature_12771,0.39132476604687844
Logistic Regression Existing,hash_feature_16813,-0.38814925636277814
Logistic Regression Existing,hash_feature_10332,-0.387546335614203
Logistic Regression Existing,hash_feature_17933,0.38514727961529416
Logistic Regression Existing,hash_feature_6585,-0.3835128872005336
Logistic Regression Existing,hash_feature_19008,0.38286587487235124
Logistic Regression Existing,hash_feature_4187,-0.3816196702358421
Logistic Regression Existing,hash_feature_5060,-0.3783662378640835
Logistic Regression Existing,hash_feature_1949,0.3762849336778124
Logistic Regression Existing,hash_feature_18285,0.37250961759644485
Logistic Regression Existing,hash_feature_14012,-0.3688227067510668
Logistic Regression Existing,hash_feature_18764,-0.36795365876621716
